path,pitch,yaw
HeadPose\Pointing04\personne01133-15+0.jpg,-15,+0
HeadPose\Pointing04\personne01134-15+15.jpg,-15,+15
HeadPose\Pointing04\personne01135-15+30.jpg,-15,+30
HeadPose\Pointing04\personne01136-15+45.jpg,-15,+45
HeadPose\Pointing04\personne01137-15+60.jpg,-15,+60
HeadPose\Pointing04\personne01138-15+75.jpg,-15,+75
HeadPose\Pointing04\personne01139-15+90.jpg,-15,+90
HeadPose\Pointing04\personne01140+0-90.jpg,+0,-90
HeadPose\Pointing04\personne01141+0-75.jpg,+0,-75
HeadPose\Pointing04\personne01142+0-60.jpg,+0,-60
HeadPose\Pointing04\personne01143+0-45.jpg,+0,-45
HeadPose\Pointing04\personne01144+0-30.jpg,+0,-30
HeadPose\Pointing04\personne01145+0-15.jpg,+0,-15
HeadPose\Pointing04\personne01146+0+0.jpg,+0,+0
HeadPose\Pointing04\personne01147+0+15.jpg,+0,+15
HeadPose\Pointing04\personne01148+0+30.jpg,+0,+30
HeadPose\Pointing04\personne01149+0+45.jpg,+0,+45
HeadPose\Pointing04\personne01150+0+60.jpg,+0,+60
HeadPose\Pointing04\personne01151+0+75.jpg,+0,+75
HeadPose\Pointing04\personne01152+0+90.jpg,+0,+90
HeadPose\Pointing04\personne01153+15-90.jpg,+15,-90
HeadPose\Pointing04\personne01154+15-75.jpg,+15,-75
HeadPose\Pointing04\personne01155+15-60.jpg,+15,-60
HeadPose\Pointing04\personne01156+15-45.jpg,+15,-45
HeadPose\Pointing04\personne01157+15-30.jpg,+15,-30
HeadPose\Pointing04\personne01158+15-15.jpg,+15,-15
HeadPose\Pointing04\personne01159+15+0.jpg,+15,+0
HeadPose\Pointing04\personne01160+15+15.jpg,+15,+15
HeadPose\Pointing04\personne01161+15+30.jpg,+15,+30
HeadPose\Pointing04\personne01162+15+45.jpg,+15,+45
HeadPose\Pointing04\personne01163+15+60.jpg,+15,+60
HeadPose\Pointing04\personne01164+15+75.jpg,+15,+75
HeadPose\Pointing04\personne01165+15+90.jpg,+15,+90
HeadPose\Pointing04\personne01166+30-90.jpg,+30,-90
HeadPose\Pointing04\personne01167+30-75.jpg,+30,-75
HeadPose\Pointing04\personne01168+30-60.jpg,+30,-60
HeadPose\Pointing04\personne01169+30-45.jpg,+30,-45
HeadPose\Pointing04\personne01170+30-30.jpg,+30,-30
HeadPose\Pointing04\personne01171+30-15.jpg,+30,-15
HeadPose\Pointing04\personne01172+30+0.jpg,+30,+0
HeadPose\Pointing04\personne01173+30+15.jpg,+30,+15
HeadPose\Pointing04\personne01174+30+30.jpg,+30,+30
HeadPose\Pointing04\personne01175+30+45.jpg,+30,+45
HeadPose\Pointing04\personne01176+30+60.jpg,+30,+60
HeadPose\Pointing04\personne01177+30+75.jpg,+30,+75
HeadPose\Pointing04\personne01178+30+90.jpg,+30,+90
HeadPose\Pointing04\personne01179+60-90.jpg,+60,-90
HeadPose\Pointing04\personne01180+60-75.jpg,+60,-75
HeadPose\Pointing04\personne01181+60-60.jpg,+60,-60
HeadPose\Pointing04\personne01182+60-45.jpg,+60,-45
HeadPose\Pointing04\personne01183+60-30.jpg,+60,-30
HeadPose\Pointing04\personne01184+60-15.jpg,+60,-15
HeadPose\Pointing04\personne01185+60+0.jpg,+60,+0
HeadPose\Pointing04\personne01186+60+15.jpg,+60,+15
HeadPose\Pointing04\personne01187+60+30.jpg,+60,+30
HeadPose\Pointing04\personne01188+60+45.jpg,+60,+45
HeadPose\Pointing04\personne01189+60+60.jpg,+60,+60
HeadPose\Pointing04\personne01190+60+75.jpg,+60,+75
HeadPose\Pointing04\personne01191+60+90.jpg,+60,+90
HeadPose\Pointing04\personne01192+90+0.jpg,+90,+0
HeadPose\Pointing04\personne01200-90+0.jpg,-90,+0
HeadPose\Pointing04\personne01201-60-90.jpg,-60,-90
HeadPose\Pointing04\personne01202-60-75.jpg,-60,-75
HeadPose\Pointing04\personne01203-60-60.jpg,-60,-60
HeadPose\Pointing04\personne01204-60-45.jpg,-60,-45
HeadPose\Pointing04\personne01205-60-30.jpg,-60,-30
HeadPose\Pointing04\personne01206-60-15.jpg,-60,-15
HeadPose\Pointing04\personne01207-60+0.jpg,-60,+0
HeadPose\Pointing04\personne01208-60+15.jpg,-60,+15
HeadPose\Pointing04\personne01209-60+30.jpg,-60,+30
HeadPose\Pointing04\personne01210-60+45.jpg,-60,+45
HeadPose\Pointing04\personne01211-60+60.jpg,-60,+60
HeadPose\Pointing04\personne01212-60+75.jpg,-60,+75
HeadPose\Pointing04\personne01213-60+90.jpg,-60,+90
HeadPose\Pointing04\personne01214-30-90.jpg,-30,-90
HeadPose\Pointing04\personne01215-30-75.jpg,-30,-75
HeadPose\Pointing04\personne01216-30-60.jpg,-30,-60
HeadPose\Pointing04\personne01217-30-45.jpg,-30,-45
HeadPose\Pointing04\personne01218-30-30.jpg,-30,-30
HeadPose\Pointing04\personne01219-30-15.jpg,-30,-15
HeadPose\Pointing04\personne01220-30+0.jpg,-30,+0
HeadPose\Pointing04\personne01221-30+15.jpg,-30,+15
HeadPose\Pointing04\personne01222-30+30.jpg,-30,+30
HeadPose\Pointing04\personne01223-30+45.jpg,-30,+45
HeadPose\Pointing04\personne01224-30+60.jpg,-30,+60
HeadPose\Pointing04\personne01225-30+75.jpg,-30,+75
HeadPose\Pointing04\personne01226-30+90.jpg,-30,+90
HeadPose\Pointing04\personne01227-15-90.jpg,-15,-90
HeadPose\Pointing04\personne01228-15-75.jpg,-15,-75
HeadPose\Pointing04\personne01229-15-60.jpg,-15,-60
HeadPose\Pointing04\personne01230-15-45.jpg,-15,-45
HeadPose\Pointing04\personne01231-15-30.jpg,-15,-30
HeadPose\Pointing04\personne01232-15-15.jpg,-15,-15
HeadPose\Pointing04\personne01233-15+0.jpg,-15,+0
HeadPose\Pointing04\personne01234-15+15.jpg,-15,+15
HeadPose\Pointing04\personne01235-15+30.jpg,-15,+30
HeadPose\Pointing04\personne01236-15+45.jpg,-15,+45
HeadPose\Pointing04\personne01237-15+60.jpg,-15,+60
HeadPose\Pointing04\personne01238-15+75.jpg,-15,+75
HeadPose\Pointing04\personne01239-15+90.jpg,-15,+90
HeadPose\Pointing04\personne01240+0-90.jpg,+0,-90
HeadPose\Pointing04\personne01241+0-75.jpg,+0,-75
HeadPose\Pointing04\personne01242+0-60.jpg,+0,-60
HeadPose\Pointing04\personne01243+0-45.jpg,+0,-45
HeadPose\Pointing04\personne01244+0-30.jpg,+0,-30
HeadPose\Pointing04\personne01245+0-15.jpg,+0,-15
HeadPose\Pointing04\personne01246+0+0.jpg,+0,+0
HeadPose\Pointing04\personne01247+0+15.jpg,+0,+15
HeadPose\Pointing04\personne01248+0+30.jpg,+0,+30
HeadPose\Pointing04\personne01249+0+45.jpg,+0,+45
HeadPose\Pointing04\personne01250+0+60.jpg,+0,+60
HeadPose\Pointing04\personne01251+0+75.jpg,+0,+75
HeadPose\Pointing04\personne01252+0+90.jpg,+0,+90
HeadPose\Pointing04\personne01253+15-90.jpg,+15,-90
HeadPose\Pointing04\personne01254+15-75.jpg,+15,-75
HeadPose\Pointing04\personne01255+15-60.jpg,+15,-60
HeadPose\Pointing04\personne01256+15-45.jpg,+15,-45
HeadPose\Pointing04\personne01257+15-30.jpg,+15,-30
HeadPose\Pointing04\personne01258+15-15.jpg,+15,-15
HeadPose\Pointing04\personne01259+15+0.jpg,+15,+0
HeadPose\Pointing04\personne01260+15+15.jpg,+15,+15
HeadPose\Pointing04\personne01261+15+30.jpg,+15,+30
HeadPose\Pointing04\personne01262+15+45.jpg,+15,+45
HeadPose\Pointing04\personne01263+15+60.jpg,+15,+60
HeadPose\Pointing04\personne01264+15+75.jpg,+15,+75
HeadPose\Pointing04\personne01265+15+90.jpg,+15,+90
HeadPose\Pointing04\personne01266+30-90.jpg,+30,-90
HeadPose\Pointing04\personne01267+30-75.jpg,+30,-75
HeadPose\Pointing04\personne01268+30-60.jpg,+30,-60
HeadPose\Pointing04\personne01269+30-45.jpg,+30,-45
HeadPose\Pointing04\personne01270+30-30.jpg,+30,-30
HeadPose\Pointing04\personne01271+30-15.jpg,+30,-15
HeadPose\Pointing04\personne01272+30+0.jpg,+30,+0
HeadPose\Pointing04\personne01273+30+15.jpg,+30,+15
HeadPose\Pointing04\personne01274+30+30.jpg,+30,+30
HeadPose\Pointing04\personne01275+30+45.jpg,+30,+45
HeadPose\Pointing04\personne01276+30+60.jpg,+30,+60
HeadPose\Pointing04\personne01277+30+75.jpg,+30,+75
HeadPose\Pointing04\personne01278+30+90.jpg,+30,+90
HeadPose\Pointing04\personne01279+60-90.jpg,+60,-90
HeadPose\Pointing04\personne01280+60-75.jpg,+60,-75
HeadPose\Pointing04\personne01281+60-60.jpg,+60,-60
HeadPose\Pointing04\personne01282+60-45.jpg,+60,-45
HeadPose\Pointing04\personne01283+60-30.jpg,+60,-30
HeadPose\Pointing04\personne01284+60-15.jpg,+60,-15
HeadPose\Pointing04\personne01285+60+0.jpg,+60,+0
HeadPose\Pointing04\personne01286+60+15.jpg,+60,+15
HeadPose\Pointing04\personne01287+60+30.jpg,+60,+30
HeadPose\Pointing04\personne01288+60+45.jpg,+60,+45
HeadPose\Pointing04\personne01289+60+60.jpg,+60,+60
HeadPose\Pointing04\personne01290+60+75.jpg,+60,+75
HeadPose\Pointing04\personne01291+60+90.jpg,+60,+90
HeadPose\Pointing04\personne01292+90+0.jpg,+90,+0
HeadPose\Pointing04\personne02100-90+0.jpg,-90,+0
HeadPose\Pointing04\personne02101-60-90.jpg,-60,-90
HeadPose\Pointing04\personne02102-60-75.jpg,-60,-75
HeadPose\Pointing04\personne02103-60-60.jpg,-60,-60
HeadPose\Pointing04\personne02104-60-45.jpg,-60,-45
HeadPose\Pointing04\personne02105-60-30.jpg,-60,-30
HeadPose\Pointing04\personne02106-60-15.jpg,-60,-15
HeadPose\Pointing04\personne02107-60+0.jpg,-60,+0
HeadPose\Pointing04\personne02108-60+15.jpg,-60,+15
HeadPose\Pointing04\personne02109-60+30.jpg,-60,+30
HeadPose\Pointing04\personne02110-60+45.jpg,-60,+45
HeadPose\Pointing04\personne02111-60+60.jpg,-60,+60
HeadPose\Pointing04\personne02112-60+75.jpg,-60,+75
HeadPose\Pointing04\personne02113-60+90.jpg,-60,+90
HeadPose\Pointing04\personne02114-30-90.jpg,-30,-90
HeadPose\Pointing04\personne02115-30-75.jpg,-30,-75
HeadPose\Pointing04\personne02116-30-60.jpg,-30,-60
HeadPose\Pointing04\personne02117-30-45.jpg,-30,-45
HeadPose\Pointing04\personne02118-30-30.jpg,-30,-30
HeadPose\Pointing04\personne02119-30-15.jpg,-30,-15
HeadPose\Pointing04\personne02120-30+0.jpg,-30,+0
HeadPose\Pointing04\personne02121-30+15.jpg,-30,+15
HeadPose\Pointing04\personne02122-30+30.jpg,-30,+30
HeadPose\Pointing04\personne02123-30+45.jpg,-30,+45
HeadPose\Pointing04\personne02124-30+60.jpg,-30,+60
HeadPose\Pointing04\personne02125-30+75.jpg,-30,+75
HeadPose\Pointing04\personne02126-30+90.jpg,-30,+90
HeadPose\Pointing04\personne02127-15-90.jpg,-15,-90
HeadPose\Pointing04\personne02128-15-75.jpg,-15,-75
HeadPose\Pointing04\personne02129-15-60.jpg,-15,-60
HeadPose\Pointing04\personne02130-15-45.jpg,-15,-45
HeadPose\Pointing04\personne02131-15-30.jpg,-15,-30
HeadPose\Pointing04\personne02132-15-15.jpg,-15,-15
HeadPose\Pointing04\personne02133-15+0.jpg,-15,+0
HeadPose\Pointing04\personne02134-15+15.jpg,-15,+15
HeadPose\Pointing04\personne02135-15+30.jpg,-15,+30
HeadPose\Pointing04\personne02136-15+45.jpg,-15,+45
HeadPose\Pointing04\personne02137-15+60.jpg,-15,+60
HeadPose\Pointing04\personne02138-15+75.jpg,-15,+75
HeadPose\Pointing04\personne02139-15+90.jpg,-15,+90
HeadPose\Pointing04\personne02140+0-90.jpg,+0,-90
HeadPose\Pointing04\personne02141+0-75.jpg,+0,-75
HeadPose\Pointing04\personne02142+0-60.jpg,+0,-60
HeadPose\Pointing04\personne02143+0-45.jpg,+0,-45
HeadPose\Pointing04\personne02144+0-30.jpg,+0,-30
HeadPose\Pointing04\personne02145+0-15.jpg,+0,-15
HeadPose\Pointing04\personne02146+0+0.jpg,+0,+0
HeadPose\Pointing04\personne02147+0+15.jpg,+0,+15
HeadPose\Pointing04\personne02148+0+30.jpg,+0,+30
HeadPose\Pointing04\personne02149+0+45.jpg,+0,+45
HeadPose\Pointing04\personne02150+0+60.jpg,+0,+60
HeadPose\Pointing04\personne02151+0+75.jpg,+0,+75
HeadPose\Pointing04\personne02152+0+90.jpg,+0,+90
HeadPose\Pointing04\personne02153+15-90.jpg,+15,-90
HeadPose\Pointing04\personne02154+15-75.jpg,+15,-75
HeadPose\Pointing04\personne02155+15-60.jpg,+15,-60
HeadPose\Pointing04\personne02156+15-45.jpg,+15,-45
HeadPose\Pointing04\personne02157+15-30.jpg,+15,-30
HeadPose\Pointing04\personne02158+15-15.jpg,+15,-15
HeadPose\Pointing04\personne02159+15+0.jpg,+15,+0
HeadPose\Pointing04\personne02160+15+15.jpg,+15,+15
HeadPose\Pointing04\personne02161+15+30.jpg,+15,+30
HeadPose\Pointing04\personne02162+15+45.jpg,+15,+45
HeadPose\Pointing04\personne02163+15+60.jpg,+15,+60
HeadPose\Pointing04\personne02164+15+75.jpg,+15,+75
HeadPose\Pointing04\personne02165+15+90.jpg,+15,+90
HeadPose\Pointing04\personne02166+30-90.jpg,+30,-90
HeadPose\Pointing04\personne02167+30-75.jpg,+30,-75
HeadPose\Pointing04\personne02168+30-60.jpg,+30,-60
HeadPose\Pointing04\personne02169+30-45.jpg,+30,-45
HeadPose\Pointing04\personne02170+30-30.jpg,+30,-30
HeadPose\Pointing04\personne02171+30-15.jpg,+30,-15
HeadPose\Pointing04\personne02172+30+0.jpg,+30,+0
HeadPose\Pointing04\personne02173+30+15.jpg,+30,+15
HeadPose\Pointing04\personne02174+30+30.jpg,+30,+30
HeadPose\Pointing04\personne02175+30+45.jpg,+30,+45
HeadPose\Pointing04\personne02176+30+60.jpg,+30,+60
HeadPose\Pointing04\personne02177+30+75.jpg,+30,+75
HeadPose\Pointing04\personne02178+30+90.jpg,+30,+90
HeadPose\Pointing04\personne02179+60-90.jpg,+60,-90
HeadPose\Pointing04\personne02180+60-75.jpg,+60,-75
HeadPose\Pointing04\personne02181+60-60.jpg,+60,-60
HeadPose\Pointing04\personne02182+60-45.jpg,+60,-45
HeadPose\Pointing04\personne02183+60-30.jpg,+60,-30
HeadPose\Pointing04\personne02184+60-15.jpg,+60,-15
HeadPose\Pointing04\personne02185+60+0.jpg,+60,+0
HeadPose\Pointing04\personne02186+60+15.jpg,+60,+15
HeadPose\Pointing04\personne02187+60+30.jpg,+60,+30
HeadPose\Pointing04\personne02188+60+45.jpg,+60,+45
HeadPose\Pointing04\personne02189+60+60.jpg,+60,+60
HeadPose\Pointing04\personne02190+60+75.jpg,+60,+75
HeadPose\Pointing04\personne02191+60+90.jpg,+60,+90
HeadPose\Pointing04\personne02192+90+0.jpg,+90,+0
HeadPose\Pointing04\personne02200-90+0.jpg,-90,+0
HeadPose\Pointing04\personne02201-60-90.jpg,-60,-90
HeadPose\Pointing04\personne02202-60-75.jpg,-60,-75
HeadPose\Pointing04\personne02203-60-60.jpg,-60,-60
HeadPose\Pointing04\personne02204-60-45.jpg,-60,-45
HeadPose\Pointing04\personne02205-60-30.jpg,-60,-30
HeadPose\Pointing04\personne02206-60-15.jpg,-60,-15
HeadPose\Pointing04\personne02207-60+0.jpg,-60,+0
HeadPose\Pointing04\personne02208-60+15.jpg,-60,+15
HeadPose\Pointing04\personne02209-60+30.jpg,-60,+30
HeadPose\Pointing04\personne02210-60+45.jpg,-60,+45
HeadPose\Pointing04\personne02211-60+60.jpg,-60,+60
HeadPose\Pointing04\personne02212-60+75.jpg,-60,+75
HeadPose\Pointing04\personne02213-60+90.jpg,-60,+90
HeadPose\Pointing04\personne02214-30-90.jpg,-30,-90
HeadPose\Pointing04\personne02215-30-75.jpg,-30,-75
HeadPose\Pointing04\personne02216-30-60.jpg,-30,-60
HeadPose\Pointing04\personne02217-30-45.jpg,-30,-45
HeadPose\Pointing04\personne02218-30-30.jpg,-30,-30
HeadPose\Pointing04\personne02219-30-15.jpg,-30,-15
HeadPose\Pointing04\personne02220-30+0.jpg,-30,+0
HeadPose\Pointing04\personne02221-30+15.jpg,-30,+15
HeadPose\Pointing04\personne02222-30+30.jpg,-30,+30
HeadPose\Pointing04\personne02223-30+45.jpg,-30,+45
HeadPose\Pointing04\personne02224-30+60.jpg,-30,+60
HeadPose\Pointing04\personne02225-30+75.jpg,-30,+75
HeadPose\Pointing04\personne02226-30+90.jpg,-30,+90
HeadPose\Pointing04\personne02227-15-90.jpg,-15,-90
HeadPose\Pointing04\personne02228-15-75.jpg,-15,-75
HeadPose\Pointing04\personne02229-15-60.jpg,-15,-60
HeadPose\Pointing04\personne02230-15-45.jpg,-15,-45
HeadPose\Pointing04\personne02231-15-30.jpg,-15,-30
HeadPose\Pointing04\personne02232-15-15.jpg,-15,-15
HeadPose\Pointing04\personne02233-15+0.jpg,-15,+0
HeadPose\Pointing04\personne02234-15+15.jpg,-15,+15
HeadPose\Pointing04\personne02235-15+30.jpg,-15,+30
HeadPose\Pointing04\personne02236-15+45.jpg,-15,+45
HeadPose\Pointing04\personne02237-15+60.jpg,-15,+60
HeadPose\Pointing04\personne02238-15+75.jpg,-15,+75
HeadPose\Pointing04\personne02239-15+90.jpg,-15,+90
HeadPose\Pointing04\personne02240+0-90.jpg,+0,-90
HeadPose\Pointing04\personne02241+0-75.jpg,+0,-75
HeadPose\Pointing04\personne02242+0-60.jpg,+0,-60
HeadPose\Pointing04\personne02243+0-45.jpg,+0,-45
HeadPose\Pointing04\personne02244+0-30.jpg,+0,-30
HeadPose\Pointing04\personne02245+0-15.jpg,+0,-15
HeadPose\Pointing04\personne02246+0+0.jpg,+0,+0
HeadPose\Pointing04\personne02247+0+15.jpg,+0,+15
HeadPose\Pointing04\personne02248+0+30.jpg,+0,+30
HeadPose\Pointing04\personne02249+0+45.jpg,+0,+45
HeadPose\Pointing04\personne02250+0+60.jpg,+0,+60
HeadPose\Pointing04\personne02251+0+75.jpg,+0,+75
HeadPose\Pointing04\personne02252+0+90.jpg,+0,+90
HeadPose\Pointing04\personne02253+15-90.jpg,+15,-90
HeadPose\Pointing04\personne02254+15-75.jpg,+15,-75
HeadPose\Pointing04\personne02255+15-60.jpg,+15,-60
HeadPose\Pointing04\personne02256+15-45.jpg,+15,-45
HeadPose\Pointing04\personne02257+15-30.jpg,+15,-30
HeadPose\Pointing04\personne02258+15-15.jpg,+15,-15
HeadPose\Pointing04\personne02259+15+0.jpg,+15,+0
HeadPose\Pointing04\personne02260+15+15.jpg,+15,+15
HeadPose\Pointing04\personne02261+15+30.jpg,+15,+30
HeadPose\Pointing04\personne02262+15+45.jpg,+15,+45
HeadPose\Pointing04\personne02263+15+60.jpg,+15,+60
HeadPose\Pointing04\personne02264+15+75.jpg,+15,+75
HeadPose\Pointing04\personne02265+15+90.jpg,+15,+90
HeadPose\Pointing04\personne02266+30-90.jpg,+30,-90
HeadPose\Pointing04\personne02267+30-75.jpg,+30,-75
HeadPose\Pointing04\personne02268+30-60.jpg,+30,-60
HeadPose\Pointing04\personne02269+30-45.jpg,+30,-45
HeadPose\Pointing04\personne02270+30-30.jpg,+30,-30
HeadPose\Pointing04\personne02271+30-15.jpg,+30,-15
HeadPose\Pointing04\personne02272+30+0.jpg,+30,+0
HeadPose\Pointing04\personne02273+30+15.jpg,+30,+15
HeadPose\Pointing04\personne02274+30+30.jpg,+30,+30
HeadPose\Pointing04\personne02275+30+45.jpg,+30,+45
HeadPose\Pointing04\personne02276+30+60.jpg,+30,+60
HeadPose\Pointing04\personne02277+30+75.jpg,+30,+75
HeadPose\Pointing04\personne02278+30+90.jpg,+30,+90
HeadPose\Pointing04\personne02279+60-90.jpg,+60,-90
HeadPose\Pointing04\personne02280+60-75.jpg,+60,-75
HeadPose\Pointing04\personne02281+60-60.jpg,+60,-60
HeadPose\Pointing04\personne02282+60-45.jpg,+60,-45
HeadPose\Pointing04\personne02283+60-30.jpg,+60,-30
HeadPose\Pointing04\personne02284+60-15.jpg,+60,-15
HeadPose\Pointing04\personne02285+60+0.jpg,+60,+0
HeadPose\Pointing04\personne02286+60+15.jpg,+60,+15
HeadPose\Pointing04\personne02287+60+30.jpg,+60,+30
HeadPose\Pointing04\personne02288+60+45.jpg,+60,+45
HeadPose\Pointing04\personne02289+60+60.jpg,+60,+60
HeadPose\Pointing04\personne02290+60+75.jpg,+60,+75
HeadPose\Pointing04\personne02291+60+90.jpg,+60,+90
HeadPose\Pointing04\personne02292+90+0.jpg,+90,+0
HeadPose\Pointing04\personne03100-90+0.jpg,-90,+0
HeadPose\Pointing04\personne03101-60-90.jpg,-60,-90
HeadPose\Pointing04\personne03102-60-75.jpg,-60,-75
HeadPose\Pointing04\personne03103-60-60.jpg,-60,-60
HeadPose\Pointing04\personne03104-60-45.jpg,-60,-45
HeadPose\Pointing04\personne03105-60-30.jpg,-60,-30
HeadPose\Pointing04\personne03106-60-15.jpg,-60,-15
HeadPose\Pointing04\personne03107-60+0.jpg,-60,+0
HeadPose\Pointing04\personne03108-60+15.jpg,-60,+15
HeadPose\Pointing04\personne03109-60+30.jpg,-60,+30
HeadPose\Pointing04\personne03110-60+45.jpg,-60,+45
HeadPose\Pointing04\personne03111-60+60.jpg,-60,+60
HeadPose\Pointing04\personne03112-60+75.jpg,-60,+75
HeadPose\Pointing04\personne03113-60+90.jpg,-60,+90
HeadPose\Pointing04\personne03114-30-90.jpg,-30,-90
HeadPose\Pointing04\personne03115-30-75.jpg,-30,-75
HeadPose\Pointing04\personne03116-30-60.jpg,-30,-60
HeadPose\Pointing04\personne03117-30-45.jpg,-30,-45
HeadPose\Pointing04\personne03118-30-30.jpg,-30,-30
HeadPose\Pointing04\personne03119-30-15.jpg,-30,-15
HeadPose\Pointing04\personne03120-30+0.jpg,-30,+0
HeadPose\Pointing04\personne03121-30+15.jpg,-30,+15
HeadPose\Pointing04\personne03122-30+30.jpg,-30,+30
HeadPose\Pointing04\personne03123-30+45.jpg,-30,+45
HeadPose\Pointing04\personne03124-30+60.jpg,-30,+60
HeadPose\Pointing04\personne03125-30+75.jpg,-30,+75
HeadPose\Pointing04\personne03126-30+90.jpg,-30,+90
HeadPose\Pointing04\personne03127-15-90.jpg,-15,-90
HeadPose\Pointing04\personne03128-15-75.jpg,-15,-75
HeadPose\Pointing04\personne03129-15-60.jpg,-15,-60
HeadPose\Pointing04\personne03130-15-45.jpg,-15,-45
HeadPose\Pointing04\personne03131-15-30.jpg,-15,-30
HeadPose\Pointing04\personne03132-15-15.jpg,-15,-15
HeadPose\Pointing04\personne03133-15+0.jpg,-15,+0
HeadPose\Pointing04\personne03134-15+15.jpg,-15,+15
HeadPose\Pointing04\personne03135-15+30.jpg,-15,+30
HeadPose\Pointing04\personne03136-15+45.jpg,-15,+45
HeadPose\Pointing04\personne03137-15+60.jpg,-15,+60
HeadPose\Pointing04\personne03138-15+75.jpg,-15,+75
HeadPose\Pointing04\personne03139-15+90.jpg,-15,+90
HeadPose\Pointing04\personne03140+0-90.jpg,+0,-90
HeadPose\Pointing04\personne03141+0-75.jpg,+0,-75
HeadPose\Pointing04\personne03142+0-60.jpg,+0,-60
HeadPose\Pointing04\personne03143+0-45.jpg,+0,-45
HeadPose\Pointing04\personne03144+0-30.jpg,+0,-30
HeadPose\Pointing04\personne03145+0-15.jpg,+0,-15
HeadPose\Pointing04\personne03146+0+0.jpg,+0,+0
HeadPose\Pointing04\personne03147+0+15.jpg,+0,+15
HeadPose\Pointing04\personne03148+0+30.jpg,+0,+30
HeadPose\Pointing04\personne03149+0+45.jpg,+0,+45
HeadPose\Pointing04\personne03150+0+60.jpg,+0,+60
HeadPose\Pointing04\personne03151+0+75.jpg,+0,+75
HeadPose\Pointing04\personne03152+0+90.jpg,+0,+90
HeadPose\Pointing04\personne03153+15-90.jpg,+15,-90
HeadPose\Pointing04\personne03154+15-75.jpg,+15,-75
HeadPose\Pointing04\personne03155+15-60.jpg,+15,-60
HeadPose\Pointing04\personne03156+15-45.jpg,+15,-45
HeadPose\Pointing04\personne03157+15-30.jpg,+15,-30
HeadPose\Pointing04\personne03158+15-15.jpg,+15,-15
HeadPose\Pointing04\personne03159+15+0.jpg,+15,+0
HeadPose\Pointing04\personne03160+15+15.jpg,+15,+15
HeadPose\Pointing04\personne03161+15+30.jpg,+15,+30
HeadPose\Pointing04\personne03162+15+45.jpg,+15,+45
HeadPose\Pointing04\personne03163+15+60.jpg,+15,+60
HeadPose\Pointing04\personne03164+15+75.jpg,+15,+75
HeadPose\Pointing04\personne03165+15+90.jpg,+15,+90
HeadPose\Pointing04\personne03166+30-90.jpg,+30,-90
HeadPose\Pointing04\personne03167+30-75.jpg,+30,-75
HeadPose\Pointing04\personne03168+30-60.jpg,+30,-60
HeadPose\Pointing04\personne03169+30-45.jpg,+30,-45
HeadPose\Pointing04\personne03170+30-30.jpg,+30,-30
HeadPose\Pointing04\personne03171+30-15.jpg,+30,-15
HeadPose\Pointing04\personne03172+30+0.jpg,+30,+0
HeadPose\Pointing04\personne03173+30+15.jpg,+30,+15
HeadPose\Pointing04\personne03174+30+30.jpg,+30,+30
HeadPose\Pointing04\personne03175+30+45.jpg,+30,+45
HeadPose\Pointing04\personne03176+30+60.jpg,+30,+60
HeadPose\Pointing04\personne03177+30+75.jpg,+30,+75
